NAME,EMAIL,ROLE
U Naing Win Latt,user1@skipbox.me,Principal
U Wai Lin Tun,user2@skipbox.me,"S-1,S-2,S-3"
Daw Su Mon Zaw Zaw,user3@skipbox.me,"P-5,P-6"
U Htet Khaing Kyi Lin,user4@skipbox.me,"P-3,P-4"
U Maung Maung Than,user5@skipbox.me,"KG,P-1,P-2"
Daw Thin Thin,user6@skipbox.me,Activity
U San Nyunt,user7@skipbox.me,Manager
Daw Phyu Nu Hlaing,user8@skipbox.me,Assistant Manager
Daw Yamin Chozin,user9@skipbox.me,IT
,user10@skipbox.me,Lower
,user11@skipbox.me,Lower
,user12@skipbox.me,Upper
,user13@skipbox.me,Upper
